Test Time,BarCode,Model,Completion,Result,Step Name,Step Re.
'2021-10-01 6:12:44,'RPC60F3P21090066,'StandInDoor,OK,OK,Security data,OK,GB(mO)/60,IR(MO)/999,ACW(mA)/1.67,LC(mA)/0.197
'2021-10-01 6:12:44,'RPC60F3P21090066,'StandInDoor,OK,OK,Cool High-Fan,OK,Volt(V)/OK/220.9,Curr(A)/OK/1.736,Power(W)/OK/361.50,Compressor/OK/0,Four-way/OK/0,Outdoor fan/OK/0
'2021-10-01 6:12:44,'RPC60F3P21090066,'StandInDoor,OK,OK,low-Fan,OK,Volt(V)/OK/221.3,Curr(A)/OK/1.300,Power(W)/OK/214.00,Compressor/OK/0,Four-way/OK/0,Outdoor fan/OK/0
'2021-10-01 6:12:44,'RPC60F3P21090066,'StandInDoor,OK,OK,middle-Fan,OK,Volt(V)/OK/221.4,Curr(A)/OK/1.282,Power(W)/OK/281.00,Compressor/OK/0,Four-way/OK/0,Outdoor fan/OK/0
'2021-10-01 6:12:44,'RPC60F3P21090066,'StandInDoor,OK,OK,close,OK,Volt(V)/OK/222.1,Curr(A)/OK/0.060,Power(W)/OK/8.50,Compressor/OK/0,Four-way/OK/0,Outdoor fan/OK/0

'2021-10-01 6:17:20,'RPC60F3P21090065,'StandInDoor,OK,OK,Security data,OK,GB(mO)/60,IR(MO)/322,ACW(mA)/1.95,LC(mA)/0.231
'2021-10-01 6:17:20,'RPC60F3P21090065,'StandInDoor,OK,OK,Cool High-Fan,OK,Volt(V)/OK/220.7,Curr(A)/OK/1.860,Power(W)/OK/368.50,Compressor/OK/0,Four-way/OK/0,Outdoor fan/OK/0
'2021-10-01 6:17:20,'RPC60F3P21090065,'StandInDoor,OK,OK,low-Fan,OK,Volt(V)/OK/221.2,Curr(A)/OK/1.056,Power(W)/OK/230.50,Compressor/OK/0,Four-way/OK/0,Outdoor fan/OK/0
'2021-10-01 6:17:20,'RPC60F3P21090065,'StandInDoor,OK,OK,middle-Fan,OK,Volt(V)/OK/221.4,Curr(A)/OK/1.118,Power(W)/OK/287.00,Compressor/OK/0,Four-way/OK/0,Outdoor fan/OK/0
'2021-10-01 6:17:20,'RPC60F3P21090065,'StandInDoor,OK,OK,close,OK,Volt(V)/OK/221.8,Curr(A)/OK/0.060,Power(W)/OK/8.00,Compressor/OK/0,Four-way/OK/0,Outdoor fan/OK/0

'2021-10-01 6:20:03,'RPC60F3P21090067,'StandInDoor,OK,OK,Security data,OK,GB(mO)/61,IR(MO)/318,ACW(mA)/1.98,LC(mA)/0.235
'2021-10-01 6:20:03,'RPC60F3P21090067,'StandInDoor,OK,OK,Cool High-Fan,OK,Volt(V)/OK/220.8,Curr(A)/OK/1.706,Power(W)/OK/359.00,Compressor/OK/0,Four-way/OK/0,Outdoor fan/OK/0
'2021-10-01 6:20:03,'RPC60F3P21090067,'StandInDoor,OK,OK,low-Fan,OK,Volt(V)/OK/221.3,Curr(A)/OK/1.062,Power(W)/OK/233.50,Compressor/OK/0,Four-way/OK/0,Outdoor fan/OK/0
'2021-10-01 6:20:03,'RPC60F3P21090067,'StandInDoor,OK,OK,middle-Fan,OK,Volt(V)/OK/221.3,Curr(A)/OK/1.178,Power(W)/OK/284.50,Compressor/OK/0,Four-way/OK/0,Outdoor fan/OK/0
